"parcel","owner_name","property_address","city","state","postal_code","signal_type","distress_stage","amount","event_date","case_number","record_url","notes"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2709608Z","","https://demo.mars.ussba.io/funding-programs/loans/lender-match-connects-you-lenders","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2869380Z","","https://www.sba.gov/es/programas-de-financiamiento/prestamos","grant/funding opportunity watch link"
"","","","","AZ","","grant_opportunity","funding_open","","2026-02-17T23:08:05.2870591Z","","https://www.sba.gov/funding-programs/loans","grant/funding opportunity watch link"
